Altium Designer Pick and Place Locations
W:\Coord\2021-12-20\c6c0ae7269483b4b4ebf488fead0b6b1\Pick Place for 电源控制板.csv

========================================================================================================================
File Design Information:

Date:       20/12/21
Time:       17:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"R9","1KΩ","TopLayer","0805_2","","102.6160","108.2040","90","1KΩ    5%   R0805","Standard","0.0000","102.6260","107.0680","102.6161","107.0610","Fitted"
"R8","1KΩ","TopLayer","0805_2","","80.8990","107.6960","90","1KΩ    5%   R0805","Standard","0.0000","80.9090","106.5600","80.8991","106.5530","Fitted"
"R3","510Ω","TopLayer","0805_2","","71.1101","116.9600","90","510Ω    5%   R0805","Standard","0.0000","71.1200","115.8240","71.1101","115.8170","Fitted"
"Y1","4M","TopLayer","16M","","67.8180","68.3260","90","晶体，4M","Standard","0.0000","65.2780","68.3260","70.3580","68.3260","Fitted"
"XHY64","XHY64","TopLayer","QUAD100","","67.5880","86.7380","270","","Standard","0.0000","73.5880","94.4880","73.5880","94.4880","Fitted"
"U1","TJA1040","TopLayer","SO-8","","48.0870","88.5254","90","CAN驱动芯片","Standard","0.0000","48.1330","90.2970","49.9920","85.7314","Fitted"
"R7","62R-J","TopLayer","1206","","49.4030","77.4480","90","62R    1/4W     1%   R1206","Standard","0.0000","49.4030","77.4480","49.4030","75.6480","Fitted"
"R6","62R-J","TopLayer","1206","","45.2120","77.4480","90","62R    1/4W     1%   R1206","Standard","0.0000","45.2120","77.4480","45.2120","75.6480","Fitted"
"R5","10K","TopLayer","0805","","55.2450","79.6290","270","10K     1/8W    5%   R0805","Standard","0.0000","55.2351","80.7650","55.2450","80.7720","Fitted"
"R4","1M","TopLayer","0805","","69.2540","73.6501","180","1M    1/8W    5%   R0805","Standard","0.0000","70.3900","73.6600","70.3970","73.6501","Fitted"
"R2","4K7","TopLayer","0805","","57.3544","114.9210","90","4K7     1/8W    5%   R0805","Standard","0.0000","57.3643","113.7850","57.3544","113.7780","Fitted"
"R1","8R2-2W","TopLayer","2WR","","37.3532","74.9541","270","8R2                                2W","Standard","0.0000","37.3685","64.8995","37.3380","65.4050","Fitted"
"LED3","R","TopLayer","1206-2","","102.6160","98.7425","90","LED_R","Standard","0.0000","102.6160","97.0280","102.6160","97.0280","Fitted"
"LED2","R","TopLayer","1206-2","","80.6450","99.2505","90","LED_R","Standard","0.0000","80.6450","97.5360","80.6450","97.5360","Fitted"
"LED1","R","TopLayer","1206-2","","70.8660","107.1245","90","LED_R","Standard","0.0000","70.8660","105.4100","70.8660","108.8390","Fitted"
"K2","SDK-052D","TopLayer","SDK-052D","","111.2520","93.7260","0","SDK-052D","Standard","0.0000","111.2520","103.8860","111.2520","91.1860","Fitted"
"K1","SDK-052D","TopLayer","SDK-052D","","90.4240","93.5990","0","SDK-052D","Standard","0.0000","90.4240","103.7590","90.4240","91.0590","Fitted"
"J1","SPI4","TopLayer","HDR1X4","Connector; Header; 4 Position","52.1970","60.0710","180","单排针，Header, 4-Pin","Standard","0.0000","56.0070","60.0710","56.0070","60.0710","Fitted"
"D1","M7","TopLayer","M7-A","","36.7030","60.0710","360","M7","Standard","0.0000","36.7030","60.0710","34.2530","60.0710","Fitted"
"C16","47P-100V","TopLayer","C0805","Chip Capacitor, Body 2.0x1.3mm, IPC High Density","49.4030","69.3420","90","47P    100V        10%   C0805","Standard","1.4000","49.4030","69.3420","49.4030","68.5920","Fitted"
"C15","47P-100V","TopLayer","C0805","Chip Capacitor, Body 2.0x1.3mm, IPC High Density","45.2120","69.3420","90","47P    100V        10%   C0805","Standard","1.4000","45.2120","69.3420","45.2120","68.5920","Fitted"
"C14","104","TopLayer","C0805","Chip Capacitor, Body 2.0x1.3mm, IPC High Density","54.8640","65.4050","90","104     50V        10%   C0805","Standard","1.4000","54.8640","65.4050","54.8640","64.6550","Fitted"
"C13","104","TopLayer","C0805","Chip Capacitor, Body 2.0x1.3mm, IPC High Density","55.2450","73.2910","90","104     50V        10%   C0805","Standard","1.4000","55.2450","73.2910","55.2450","72.5410","Fitted"
"C12","104","TopLayer","C0805","Chip Capacitor, Body 2.0x1.3mm, IPC High Density","63.6270","74.0410","180","104     50V        10%   C0805","Standard","1.4000","63.6270","74.0410","64.3770","74.0410","Fitted"
"C11","22P","TopLayer","C0805","Chip Capacitor, Body 2.0x1.3mm, IPC High Density","70.7290","61.4680","270","22P     50V        10%   C0805","Standard","1.4000","70.7290","61.4680","70.7290","62.2180","Fitted"
"C10","22P","TopLayer","C0805","Chip Capacitor, Body 2.0x1.3mm, IPC High Density","65.3950","61.4680","90","22P     50V        10%   C0805","Standard","1.4000","65.3950","61.4680","65.3950","60.7180","Fitted"
